🐼央视,#genre#
CCTV-13新闻,http://mywlkj.ddns.net:754/tv/cctv.php?id=13
CCTV-6电影,http://mywlkj.ddns.net:754/tv/1905.php?id=cctv6
1905电影a,http://mywlkj.ddns.net:754/tv/1905.php?id=1905a
1905电影b,http://mywlkj.ddns.net:754/tv/1905.php?id=1905b
重温经典,http://mywlkj.ddns.net:754/tv/cwjd.m3u8
凤凰资讯,http://mywlkj.ddns.net:754/tv/fhzx.m3u8
凤凰中文,http://mywlkj.ddns.net:754/tv/hk.php?id=26
凤凰资讯,http://mywlkj.ddns.net:754/tv/hk.php?id=27
香港凤凰,http://mywlkj.ddns.net:754/tv/hk.php?id=28
🐼卫视,#genre#
CCTV-13新闻,http://mywlkj.ddns.net:754/tv/cctv.php?id=13
CCTV-6电影,http://mywlkj.ddns.net:754/tv/cctv6.m3u8
CCTV-2财经,http://mywlkj.ddns.net:754/tv/cctv2.m3u8
CCTV-1综合,http://mywlkj.ddns.net:754/tv/cctv1.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
安徽卫视,http://live.ahsx.ahtv.cn/live/ahtv.m3u8?txSecret=a069b18fac6cd605568d3733d24e5613&txTime=6955487F
重庆卫视,https://sjlivecdn9.cbg.cn/202906282314/app_2/_definst_/ls_2.stream/chunklist.m3u8
北京卫视,http://live.sjsrm.com/bjsjs/sd/live.m3u8
厦门卫视,https://xiamenalic.v.myalicdn.com/xiamen/xiamen_1/index.m3u8
广西卫视,http://live.gxrb.com.cn/tv/gxtvlive03/index.m3u8
山东卫视,http://livealone.iqilu.com/iqilu/sdtvhjOF03kn.m3u8
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
河北卫视,http://tv.pull.hebtv.com/jishi/weishipindao.m3u8?t=2510710360&k=3944fff7fdd8f8caf6adce2c9a0ef126
黄河卫视,http://liveflash.sxrtv.com/live/huanghe.m3u8?sub_m3u8=true&edge_slice=true
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
甘肃卫视,https://hls.gstv.com.cn/49048r/6e1sy2.m3u8
云南卫视,http://tvlive.ynradio.com/live/yunnanweishi/chunks.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
宁夏卫视,https://hls.ningxiahuangheyun.com/live/nxws1M.m3u8
内蒙古卫视,https://livestream-bt.nmtv.cn/nmtv/2314general.m3u8?txSecret=dc348a27bd36fe1bd63562af5e7269ea&txTime=771EF880
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视文旅台,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
🔥港澳台区👉秒开,#genre#
凤凰卫视,http://mywlkj.ddns.net:754/tv/yximgs.php?id=1
凤凰资讯,http://mywlkj.ddns.net:754/tv/yximgs.php?id=2
TVB翡翠台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=3
TVB明珠台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=4
TVBJ2台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=5
TVB星河台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=6
无线新闻台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=7
无线财经台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=8
无线财经台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=9
HOY77台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=10
HOY78台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=11
赛马18台,http://mywlkj.ddns.net:754/tv/yximgs.php?id=12
VIUTV,http://mywlkj.ddns.net:754/tv/yximgs.php?id=13
VIUTV6,http://mywlkj.ddns.net:754/tv/yximgs.php?id=14
