央视通用线路,#genre#
CCTV-1综合,https://tv.cry33.com/51.php?id=2022576803.m3u8
CCTV-2财经,https://tv.cry33.com/51.php?id=2022576703.m3u8
CCTV-3综艺,https://tv.cry33.com/51.php?id=2022576503.m3u8
CCTV-4国际,https://tv.cry33.com/51.php?id=2022576603.m3u8
CCTV-5体育,https://tv.cry33.com/51.php?id=2022576403.m3u8
CCTV-6电影,https://tv.cry33.com/51.php?id=2013693903.m3u8
CCTV-7国防军事,https://tv.cry33.com/51.php?id=2022576203.m3u8
CCTV-8电视剧,https://tv.cry33.com/51.php?id=2022576103.m3u8
CCTV-9记录,https://tv.cry33.com/51.php?id=2022576003.m3u8
CCTV-10科教,https://tv.cry33.com/51.php?id=2022573003.m3u8
CCTV-11戏曲,https://tv.cry33.com/51.php?id=2022575903.m3u8
CCTV-12社会与法,https://tv.cry33.com/51.php?id=2022575803.m3u8
CCTV-13新闻,https://tv.cry33.com/51.php?id=2022575703.m3u8
CCTV-14少儿,https://tv.cry33.com/51.php?id=2022575603.m3u8
CCTV-15音乐,https://tv.cry33.com/51.php?id=2022575503.m3u8
CCTV-16奥林匹克,https://tv.cry33.com/51.php?id=2022575403.m3u8
CCTV-16-4K,https://tv.cry33.com/51.php?id=2022575103.m3u8
CCTV-17农业农村,https://tv.cry33.com/51.php?id=2022575303.m3u8
CCTV-5+体育赛事,https://tv.cry33.com/51.php?id=2022576303.m3u8
CCTV-4K超高清,https://tv.cry33.com/51.php?id=2022575203.m3u8
CCTV-8K超高清,https://tv.cry33.com/51.php?id=2020603423.m3u8
CCTV-8K超高清,https://tv.cry33.com/51.php?id=2020603463.m3u8
CGTN,https://tv.cry33.com/51.php?id=2022575003.m3u8
CGTN法语,https://tv.cry33.com/51.php?id=2022574903.m3u8
CGTN俄语,https://tv.cry33.com/51.php?id=2022574803.m3u8
CGTN阿拉伯语,https://tv.cry33.com/51.php?id=2022574603.m3u8
CGTN西班牙语,https://tv.cry33.com/51.php?id=2022571703.m3u8
CGTN外语纪录,https://tv.cry33.com/51.php?id=2022574703.m3u8
CCTV风云剧场,https://tv.cry33.com/51.php?id=2012513603.m3u8
CCTV第一剧场,https://tv.cry33.com/51.php?id=2012514403.m3u8
CCTV怀旧剧场,https://tv.cry33.com/51.php?id=2012511203.m3u8
CCTV世界地理,https://tv.cry33.com/51.php?id=2012513303.m3u8
CCTV风云音乐,https://tv.cry33.com/51.php?id=2012514103.m3u8
CCTV兵器科技,https://tv.cry33.com/51.php?id=2012513403.m3u8
CCTV风云足球,https://tv.cry33.com/51.php?id=2012514203.m3u8
CCTV高尔夫网球,https://tv.cry33.com/51.php?id=2012512503.m3u8
CCTV女性时尚,https://tv.cry33.com/51.php?id=2012513903.m3u8
CCTV央视文化精品,https://tv.cry33.com/51.php?id=2012513803.m3u8
CCTV央视台球,https://tv.cry33.com/51.php?id=2012513703.m3u8
CCTV电视指南,https://tv.cry33.com/51.php?id=2012514003.m3u8
CCTV卫生健康,https://tv.cry33.com/51.php?id=2012513503.m3u8
CCTV-娱乐,http://110.72.72.90:808/hls/66/index.m3u8
中教一套,https://tv.cry33.com/51.php?id=2022823801.m3u8
中教一套,http://182.137.255.59:5033/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is
中教一套,http://171.221.27.11:5010/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is
中教一套,http://118.122.242.46:5031/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is
中教一套,http://118.122.242.88:5033/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is
中教一套,http://182.139.250.132:5033/syhjcms_hls/98000000000000000001685674939564/index.m3u8?playtype=1&usercode=cl@is

央视移动专线,#genre#
CCTV1,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3 
CCTV1,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000018602/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3 
CCTV1,http://zteres.sn.chinamobile.com:6060/000000001000/5000000004000002226/1.m3u8?channel-id=bestzb&Contentid=5000000004000002226&livemode=1&stbId=3 
CCTV1,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265001/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=3 
CCTV1,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000030810/1.m3u8?channel-id=bestzb&Contentid=5000000010000030810&livemode=1&stbId=3 
CCTV1,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000021973/1.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=3 
CCTV1,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000025334/1.m3u8?channel-id=ystenlive&Contentid=1000000005000025334&livemode=1&stbId=3 
CCTV2,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000014161/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014161&livemode=1&stbId=3 
CCTV2,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000023315/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3 
CCTV2,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031101/1.m3u8?channel-id=bestzb&Contentid=5000000011000031101&livemode=1&stbId=3 
CCTV2,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265002/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=3 
CCTV2,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000012442/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=3 
CCTV2,http://zteres.sn.chinamobile.com:6060/000000001000/5000000005000031113/1.m3u8?channel-id=bestzb&Contentid=5000000005000031113&livemode=1&stbId=3 
CCTV3,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3 
CCTV3,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000013682/1.m3u8?channel-id=ystenlive&Contentid=1000000001000013682&livemode=1&stbId=3 
CCTV3,http://zteres.sn.chinamobile.com:6060/000000001000/5000000004000008883/1.m3u8?channel-id=bestzb&Contentid=5000000004000008883&livemode=1&stbId=3 
CCTV3,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3 
CCTV3,http://zteres.sn.chinamobile.com:6060/000000001000/5000000002000020548/1.m3u8?channel-id=bestzb&Contentid=5000000002000020548&livemode=1&stbId=3 
CCTV3,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=3 
CCTV4,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3 
CCTV4,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3 
CCTV4,http://zteres.sn.chinamobile.com:6060/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=3 
CCTV4,http://zteres.sn.chinamobile.com:6060/000000001000/5000000005000030093/1.m3u8?channel-id=bestzb&Contentid=5000000005000030093&livemode=1&stbId=3 
CCTV5,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000025222/1.m3u8?channel-id=ystenlive&Contentid=1000000005000025222&livemode=1&stbId=3 
CCTV5,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000016431/1.m3u8?channel-id=wasusyt&Contentid=6000000001000016431&livemode=1&stbId=3 
CCTV5,http://zteres.sn.chinamobile.com:6060/000000001000/1000000003000030177/1.m3u8?channel-id=ystenlive&Contentid=1000000003000030177&livemode=1&stbId=3 
CCTV5,http://zteres.sn.chinamobile.com:6060/000000001000/5000000004000008885/1.m3u8?channel-id=bestzb&Contentid=5000000004000008885&livemode=1&stbId=3 
CCTV5,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3 
CCTV5,http://zteres.sn.chinamobile.com:6060/000000001000/5000000010000016619/1.m3u8?channel-id=bestzb&Contentid=5000000010000016619&livemode=1&stbId=3 
CCTV5,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000004794/1.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=3 
CCTV5+,http://zteres.sn.chinamobile.com:6060/000000001000/6000000001000015875/1.m3u8?channel-id=wasusyt&Contentid=6000000001000015875&livemode=1&stbId=3 
CCTV5+,http://zteres.sn.chinamobile.com:6060/000000001000/1000000001000018504/1.m3u8?channel-id=ystenlive&Contentid=1000000001000018504&livemode=1&stbId=3 
CCTV5+,http://zteres.sn.chinamobile.com:6060/000000001000/5000000011000031127/1.m3u8?channel-id=bestzb&Contentid=5000000011000031127&livemode=1&stbId=3 
CCTV5+,http://zteres.sn.chinamobile.com:6060/000000001000/1000000005000265016/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=3 
